Date,Địa danh,Số ca,Buổi
05/31/2021,Quảng Nam,2,Tối
05/31/2021,Tây Ninh,1,Tối
05/31/2021,Bắc Giang,43,Tối
05/31/2021,Bắc Ninh,34,Tối
05/31/2021,Bình Dương,3,Tối
05/31/2021,Hà Nội,1,Tối
05/31/2021,Trà Vinh,1,Tối
05/31/2021,Bắc Giang,48,Trưa
05/31/2021,Hà Nội,12,Trưa
05/31/2021,Bắc Ninh,4,Trưa
05/31/2021,Long An,2,Trưa
05/31/2021,Đắk Lắk,1,Trưa
05/31/2021,Đà Nẵng,1,Trưa
05/31/2021,Bắc Giang,43,Sáng
05/31/2021,Hà Nội,15,Sáng
05/31/2021,Lạng Sơn,3,Sáng
05/30/2021,Hồ Chí Minh,49,Tối
05/30/2021,Bắc Giang,44,Tối
05/30/2021,Bắc Ninh,28,Tối
05/30/2021,Hà Nội,18,Tối
05/30/2021,Bệnh viện Bệnh Nhiệt đới Trung ương cơ sở Đông Anh,2,Tối
05/30/2021,Đà Nẵng,1,Tối
05/30/2021,Bắc Giang,45,Trưa
05/30/2021,Bắc Ninh,9,Trưa
05/30/2021,Long An,1,Trưa
05/30/2021,Bắc Giang,35,Sáng
05/30/2021,TP Hồ Chí Minh,10,Sáng
05/30/2021,Bắc Ninh,6,Sáng
05/30/2021,Hải Phòng,1,Sáng
05/29/2021,Bắc Giang,67,Tối
05/29/2021,Hồ Chí Minh,29,Tối
05/29/2021,Bắc Ninh,25,Tối
05/29/2021,Hà Nội,7,Tối
05/29/2021,Lạng Sơn,7,Tối
05/29/2021,Hà Nam,3,Tối
05/29/2021,Hải Dương,2,Tối
05/29/2021,Long An,1,Tối
05/29/2021,Đồng Nai,1,Trưa
05/29/2021,Bà Rịa - Vũng Tàu,6,Trưa
05/29/2021,Bắc Giang,46,Trưa
05/29/2021,Tây Ninh,1,Trưa
05/29/2021,Điện Biên,1,Trưa
05/29/2021,Bệnh viện Bệnh Nhiệt đới Trung ương cơ sở Đông Anh,1,Trưa
05/29/2021,Bắc Giang,57,Sáng
05/29/2021,Bắc Ninh,27,Sáng
05/29/2021,Bạc Liêu,1,Sáng
05/29/2021,Gia Lai,1,Sáng
05/28/2021,Bắc Giang,123,Tối
05/28/2021,Hồ Chí Minh,25,Tối
05/28/2021,Bắc Ninh,20,Tối
05/28/2021,Hà Nội,3,Tối
05/28/2021,Lạng Sơn,2,Tối
05/28/2021,Bắc Giang,23,Trưa
05/28/2021,Bắc Ninh,13,Trưa
05/28/2021,Hải Dương,1,Trưa
05/28/2021,Hưng Yên,1,Trưa
05/28/2021,Hà Nam,1,Trưa
05/28/2021,Hà Nội,1,Trưa
05/28/2021,Bắc Giang,30,Sáng
05/28/2021,Lạng Sơn,8,Sáng
05/28/2021,Thái Bình,1,Sáng
05/28/2021,Long An,1,Sáng
05/27/2021,Bắc Giang,84,Tối
05/27/2021,Bắc Ninh,22,Tối
05/27/2021,Hà Nội,7,Tối
05/27/2021,Đà Nẵng,1,Tối
05/27/2021,Thành phố Hồ Chí Minh,36,Tối
05/27/2021,Bắc Ninh,30,Trưa
05/27/2021,Bắc Giang,21,Trưa
05/27/2021,Điện Biên,1,Trưa
05/27/2021,Hải Dương,1,Trưa
05/27/2021,Bắc Giang,23,Sáng
05/27/2021,Lạng Sơn,1,Sáng
05/26/2021,Bắc Giang,39,Tối
05/26/2021,Bắc Ninh,64,Tối
05/26/2021,Hà Nội,9,Tối
05/26/2021,Hải Dương,2,Tối
05/26/2021,Thái Nguyên,1,Tối
05/26/2021,Bắc Ninh,4,Trưa
05/26/2021,Điện Biên,1,Trưa
05/26/2021,Hải Dương,1,Trưa
05/26/2021,Hà Nội,6,Trưa
05/26/2021,Bệnh viện Bệnh Nhiệt đới Trung ương cơ sở Đông Anh,1,Trưa
05/26/2021,Bắc Giang,55,Sáng
05/26/2021,Bắc Ninh,23,Sáng
05/26/2021,Thanh Hóa,1,Sáng
05/26/2021,Hải Dương,1,Sáng
05/25/2021,Bắc Giang,243,Tối
05/25/2021,Bắc Ninh,26,Tối
05/25/2021,Hà Nội,11,Tối
05/25/2021,Lạng Sơn,3,Tối
05/25/2021,Hà Nam,3,Tối
05/25/2021,Bệnh viện K cơ sở Tân Triều,1,Tối
05/25/2021,Thái Bình,1,Trưa
05/25/2021,Hồ Chí Minh,1,Trưa
05/25/2021,Đà Nẵng,2,Trưa
05/25/2021,Hà Nội,8,Trưa
05/25/2021,Điện Biên,1,Trưa
05/25/2021,Bắc Giang,87,Trưa
05/25/2021,Bắc Giang,45,Sáng
05/25/2021,Bắc Ninh,2,Sáng
05/25/2021,Hà Nội,4,Sáng
05/25/2021,Lạng Sơn,4,Sáng
05/24/2021,Bắc Giang,44,Tối
05/24/2021,Bắc Ninh,31,Tối
05/24/2021,Hà Nội,13,Tối
05/24/2021,Lạng Sơn,6,Tối
05/24/2021,TP Hồ Chí Minh,1,Tối
05/24/2021,Bắc Giang,28,Trưa
05/24/2021,Hải Dương,4,Trưa
05/24/2021,Đà Nẵng,1,Trưa
05/24/2021,Bắc Giang,33,Sáng
05/24/2021,Hà Nội,8,Sáng
05/24/2021,Bắc Ninh,7,Sáng
05/24/2021,Lạng Sơn,5,Sáng
05/24/2021,Điện Biên,2,Sáng
05/24/2021,Hải Dương,1,Sáng
05/23/2021,Bắc Giang,57,Tối
05/23/2021,Bắc Ninh,19,Tối
05/23/2021,Bắc Giang,11,Trưa
05/23/2021,Hải Dương,3,Trưa
05/23/2021,Đà Nẵng,1,Trưa
05/23/2021,Bệnh viện K cơ sở Tân Triều,7,Trưa
05/23/2021,Đồng Nai,1,Sáng
05/23/2021,Bắc Ninh,1,Sáng
05/23/2021,Bắc Ninh,29,Sáng
05/23/2021,Ninh Bình,2,Sáng
05/22/2021,Bắc Giang,39,Tối
05/22/2021,Bắc Ninh,25,Tối
05/22/2021,Lạng Sơn,2,Tối
05/22/2021,Điện Biên,2,Tối
05/22/2021,Thanh Hóa,2,Tối
05/22/2021,Đà Nẵng,1,Tối
05/22/2021,Hải Dương,1,Tối
05/22/2021,Thái Nguyên,1,Tối
05/22/2021,Bắc Giang,34,Trưa
05/22/2021,Hà Nội,10,Trưa
05/22/2021,Hưng Yên,4,Trưa
05/22/2021,Hải Dương,2,Trưa
05/22/2021,Bắc Giang,11,Sáng
05/22/2021,Hải Dương,4,Sáng
05/22/2021,Bắc Ninh,3,Sáng
05/22/2021,Thái Bình,1,Sáng
05/22/2021,Điện Biên,1,Sáng
05/21/2021,Bắc Giang,39,Tối
05/21/2021,Bắc Ninh,13,Tối
05/21/2021,Đà Nẵng,2,Tối
05/21/2021,Lạng Sơn,1,Tối
05/21/2021,Bệnh viện K cơ sở Tân Triều,2,Tối
05/21/2021,Bắc Giang,45,Trưa
05/21/2021,Hưng Yên,2,Trưa
05/21/2021,Hải Dương,1,Trưa
05/21/2021,Điện Biên,1,Trưa
05/21/2021,Hà Nội,1,Trưa
05/21/2021,Bắc Giang,15,Sáng
05/21/2021,Điện Biên,6,Sáng
05/21/2021,Hải Dương,2,Sáng
05/20/2021,Bắc Giang,24,Tối
05/20/2021,Bắc Ninh,10,Tối
05/20/2021,Lạng Sơn,1,Tối
05/20/2021,Hải Dương,1,Tối
05/20/2021,Vĩnh Phúc,1,Tối
05/20/2021,Bắc Giang,26,Trưa
05/20/2021,Bắc Ninh,6,Trưa
05/20/2021,Điện Biên,4,Trưa
05/20/2021,Hà Nội,2,Trưa
05/20/2021,Đà Nẵng,1,Trưa
05/20/2021,Thái Nguyên,1,Trưa
05/20/2021,Bệnh viện K cơ sở Tân Triều,4,Trưa
05/20/2021,Lạng Sơn,1,Sáng
05/20/2021,Ninh Bình,2,Sáng
05/20/2021,Thanh Hoá,1,Sáng
05/20/2021,Bắc Ninh,8,Sáng
05/20/2021,Hải Dương,5,Sáng
05/20/2021,Bắc Giang,13,Sáng
