date,location,number,time of day
06/10/2021,TP. Hồ Chí Minh,26,Sáng
06/10/2021,Bắc Ninh,23,Sáng
06/10/2021,Bắc Giang,16,Sáng
06/10/2021,Hà Tĩnh,1,Sáng
06/10/2021,Kiên Giang,1,Trưa
06/10/2021,An Giang,1,Trưa
06/10/2021,Bắc Giang,52,Trưa
06/10/2021,TP. Hồ Chí Minh,15,Trưa
06/10/2021,Bắc Ninh,10,Trưa
06/10/2021,Hà Nội,4,Trưa
06/10/2021,Hà Tĩnh,2,Trưa
06/10/2021,Lạng Sơn,1,Trưa
06/10/2021,Hải Dương,1,Trưa
06/10/2021,Long An,1,Trưa
06/10/2021,Bắc Giang,23,Tối
06/10/2021,TP. Hồ Chí Minh,20,Tối
06/10/2021,Bắc Ninh,12,Tối
06/10/2021,Tiền Giang,2,Tối
06/10/2021,Hà Tĩnh,2,Tối
06/11/2021,Bắc Giang,23,Sáng
06/11/2021,TP. Hồ Chí Minh,10,Sáng
06/11/2021,Bắc Ninh,4,Sáng
06/11/2021,Hà Tĩnh,4,Sáng
06/11/2021,Bắc Giang,45,Trưa
06/11/2021,Hồ Chí Minh,18,Trưa
06/11/2021,Bắc Ninh,9,Trưa
06/11/2021,Hà Nội,5,Trưa
06/11/2021,Hà Tĩnh,4,Trưa
06/11/2021,Bắc Giang,27,Tối
06/11/2021,TP. Hồ Chí Minh,20,Tối
06/11/2021,Bắc Ninh,15,Tối
06/11/2021,Hà Nội,1,Tối
06/12/2021,Bắc Giang,29,Sáng
06/12/2021,TP. Hồ Chí Minh,20,Sáng
06/12/2021,Tiền Giang,10,Sáng
06/12/2021,Bắc Ninh,8,Sáng
06/12/2021,Lạng Sơn,1,Sáng
06/12/2021,Bắc Giang,55,Trưa
06/12/2021,TP. Hồ Chí Minh,20,Trưa
06/12/2021,Bắc Ninh,10,Trưa
06/12/2021,Hà Tĩnh,3,Trưa
06/12/2021,TP. Hồ Chí Minh,44,Tối
06/12/2021,Bắc Giang,41,Tối
06/12/2021,Bắc Ninh,16,Tối
06/12/2021,Hà Tĩnh,2,Tối
06/13/2021,Bắc Ninh,34,Sáng
06/13/2021,Bắc Giang,32,Sáng
06/13/2021,TP. Hồ Chí Minh,25,Sáng
06/13/2021,Lạng Sơn,2,Sáng
06/13/2021,Phú Thọ,1,Sáng
06/13/2021,Hà Nội,1,Sáng
06/13/2021,Bắc Giang,64,Trưa
06/13/2021,TP Hồ Chí Minh,26,Trưa
06/13/2021,Bắc Ninh,4,Trưa
06/13/2021,Hà Nội,1,Trưa
06/13/2021,TP. Hồ Chí Minh,44,Tối
