date,location,number,time of day
2021-05-13,Sóc Trăng,9,Tối
2021-05-13,Đồng Nai,1,Tối
2021-05-13,Vĩnh Long,1,Tối
2021-05-13,Bình Dương,1,Tối
2021-05-13,Đà Nẵng,10,Tối
2021-05-13,Bắc Ninh,4,Tối
2021-05-13,Vĩnh Phúc,3,Tối
2021-05-13,Hà Nội,1,Tối
2021-05-13,Bắc Giang,1,Tối
2021-05-13,Bắc Giang,7,Trưa
2021-05-13,Hưng Yên,4,Trưa
2021-05-13,Thái Bình,4,Trưa
2021-05-13,Hà Nội,3,Trưa
2021-05-13,Huế,1,Trưa
2021-05-13,Hà Nam,1,Trưa
2021-05-13,Hòa Bình,1,Trưa
2021-05-13,Long An,1,Sáng
2021-05-13,An Giang,1,Sáng
2021-05-13,Hà Nội,1,Sáng
2021-05-13,Đà Nẵng,22,Sáng
2021-05-13,Bắc Ninh,3,Sáng
2021-05-13,Hà Nội,3,Sáng
2021-05-13,Vĩnh Phúc,2,Sáng
2021-05-13,Bắc Giang,2,Sáng
2021-05-12,Hà Nội,7,Tối
2021-05-12,Bắc Giang,2,Tối
2021-05-12,Phú Thọ,1,Tối
2021-05-12,Hà Nội,2,Trưa
2021-05-12,Bắc Giang,9,Trưa
2021-05-12,Bắc Ninh,5,Trưa
2021-05-12,Hà Nam,1,Trưa
2021-05-12,Thái Bình,1,Trưa
2021-05-12,Hưng Yên,1,Trưa
2021-05-12,Hà Nội,4,Sáng
2021-05-12,Vĩnh Phúc,13,Sáng
2021-05-12,Đà Nẵng,7,Sáng
2021-05-12,Bắc Giang,6,Sáng
2021-05-12,Lạng Sơn,1,Sáng
2021-05-12,Hà Nội,1,Sáng
2021-05-12,Nam Định,1,Sáng
2021-05-11,Bắc Ninh,20,Tối
2021-05-11,Bắc Giang,2,Tối
2021-05-11,Hà Nội,2,Tối
2021-05-11,Thái Bình,2,Tối
2021-05-11,Thừa Thiên Huế,1,Tối
2021-05-11,Bắc Giang,10,Trưa
2021-05-11,Hà Nội,2,Trưa
2021-05-11,Quảng Trị,2,Trưa
2021-05-11,Bắc Ninh,1,Trưa
2021-05-11,Hải Dương,1,Trưa
2021-05-11,Hà Nội,1,Sáng
2021-05-11,Bắc Ninh,13,Sáng
2021-05-11,Vĩnh Phúc,7,Sáng
2021-05-11,Bắc Giang,5,Sáng
2021-05-11,Lạng Sơn,1,Sáng
2021-05-11,Hải Dương,1,Sáng
2021-05-10,Hưng Yên,6,Tối
2021-05-10,Đà Nẵng,4,Tối
2021-05-10,Bắc Giang,3,Tối
2021-05-10,Hà Nội,2,Tối
2021-05-10,Vĩnh Phúc,1,Tối
2021-05-10,Bắc Ninh,27,Sáng
2021-05-10,Vĩnh Phúc,19,Sáng
2021-05-10,Đà Nẵng,13,Sáng
2021-05-10,Bắc Giang,5,Sáng
2021-05-10,Hà Nội,9,Sáng
2021-05-10,Hòa Bình,2,Sáng
2021-05-10,Đắk Lắk,1,Sáng
2021-05-10,Điện Biên,1,Sáng
2021-05-10,Lạng Sơn,1,Sáng
2021-05-10,Hà Nội,21,Trưa
2021-05-10,Bắc Giang,7,Trưa
2021-05-10,Hòa Bình,1,Trưa
2021-05-10,Đà Nẵng,1,Trưa
2021-05-10,Hải Dương,1,Trưa
2021-05-09,Hà Tĩnh,1,Tối
2021-05-09,Tiền Giang,2,Tối
2021-05-09,Vĩnh Long,5,Tối
2021-05-09,Hà Nội,1,Tối
2021-05-09,Quảng Trị,1,Tối
2021-05-09,Bắc Giang,26,Tối
2021-05-09,Bắc Ninh,15,Tối
2021-05-09,Hà Nội,11,Tối
2021-05-09,Hưng Yên,2,Tối
2021-05-09,Hòa Bình,2,Tối
2021-05-09,Đà Nẵng,17,Tối
2021-05-09,Huế,2,Tối
2021-05-09,Quảng Nam,1,Tối
2021-05-09,Quảng Trị,1,Tối
2021-05-09,Hà Nội,6,Sáng
2021-05-09,Đắk Lắk,1,Sáng
2021-05-09,Hà Nam,1,Sáng
2021-05-09,Lạng Sơn,2,Sáng
2021-05-09,Bắc Giang,5,Sáng
2021-05-08,Hà Tĩnh,1,Tối
2021-05-08,Hà Nội,4,Tối
2021-05-08,Cần Thơ,3,Tối
2021-05-08,Hồ Chí Minh,1,Tối
2021-05-08,An Giang,3,Tối
2021-05-08,Đà Nẵng,1,Tối
2021-05-08,Quảng Ninh,1,Tối
2021-05-08,Bắc Giang,1,Tối
2021-05-08,Hưng Yên,3,Tối
2021-05-08,Hà Nội,22,Tối
2021-05-08,Hải Dương,1,Tối
2021-05-08,Bắc Ninh,17,Tối
2021-05-08,Thái Bình,1,Tối
2021-05-08,Vĩnh Phúc,7,Tối
2021-05-08,Hải Phòng,1,Tối
2021-05-08,Huế,1,Tối
2021-05-08,Đà Nẵng,8,Tối
2021-05-08,Nam Định,1,Tối
2021-05-08,Quảng Nam,1,Tối
2021-05-08,Bắc Ninh,14,Sáng
2021-05-08,Hà Nội,1,Sáng
2021-05-07,Hồ Chí Minh,2,Tối
2021-05-07,Đà Nẵng,2,Tối
2021-05-07,Quảng Trị,1,Tối
2021-05-07,Bình Thuận,1,Tối
2021-05-07,Hà Nội,24,Tối
2021-05-07,Hải Dương,1,Tối
2021-05-07,Điện Biên,1,Tối
2021-05-07,Hà Nam,1,Tối
2021-05-07,Nghệ An,1,Tối
2021-05-07,Hưng Yên,4,Tối
2021-05-07,Nam Định,1,Tối
2021-05-07,Đà Nẵng,5,Tối
2021-05-07,Phú Thọ,1,Tối
2021-05-07,Vĩnh Phúc,1,Tối
2021-05-07,Thanh Hóa,1,Sáng
2021-05-06,Thái Nguyên,1,Tối
2021-05-06,Hà Tĩnh,1,Tối
2021-05-06,Khánh Hòa,2,Tối
2021-05-06,Vĩnh Phúc,11,Tối
2021-05-06,Thái Bình,5,Tối
2021-05-06,Bắc Ninh,12,Tối
2021-05-06,Hà Nội,4,Tối
2021-05-06,Hải Dương,1,Tối
2021-05-06,Hưng Yên,2,Tối
2021-05-06,Quảng Ngãi,1,Tối
2021-05-06,Hà Nội,16,Tối
2021-05-06,Đà Nẵng,3,Tối
2021-05-06,Lạng Sơn,1,Tối
2021-05-06,Hà Nội,8,Sáng
2021-05-05,Tây Ninh,1,Tối
2021-05-05,Hải Dương,1,Tối
2021-05-05,Sóc Trăng,2,Tối
2021-05-05,Đà Nẵng,2,Tối
2021-05-05,Hồ Chí Minh,1,Tối
2021-05-05,Hà Nội,1,Tối
2021-05-05,Đồng Nai,1,Tối
2021-05-05,Hải Dương,1,Tối
2021-05-05,Hà Nội,14,Tối
2021-05-04,Hưng Yên,2,Tối
2021-05-04,Hồ Chí Minh,3,Tối
2021-05-04,Đà Nẵng,2,Tối
2021-05-04,Hà Tĩnh,1,Tối
2021-05-04,Khánh Hòa,1,Tối
2021-05-04,Đà Nẵng,1,Sáng
2021-05-04,Hà Nội,1,Sáng
2021-05-03,Kiên Giang,1,Tối
2021-05-03,Đà Nẵng,2,Tối
2021-05-03,Khánh Hòa,5,Tối
2021-05-03,Hà Nam,2,Tối
2021-05-02,Cần Thơ,4,Tối
2021-05-02,Đà Nẵng,2,Tối
2021-05-02,Vĩnh Phúc,6,Tối
2021-05-01,Đà Nẵng,2,Tối
2021-05-01,Hồ Chí Minh,3,Tối
2021-05-01,Hà Tĩnh,3,Tối
2021-04-30,Hồ Chí Minh,2,Tối
2021-04-30,Tây Ninh,1,Tối
2021-04-30,Sóc Trăng,2,Tối
2021-04-30,Bà Rịa - Vũng Tàu,5,Tối
2021-04-30,Hà Nam,2,Tối
2021-04-30,Hà Nội,2,Tối
2021-04-30,Hà Nội,1,Sáng
2021-04-30,Hưng Yên,2,Sáng
2021-04-29,Cần Thơ,17,Tối
2021-04-29,Long An,2,Tối
2021-04-29,Bà Rịa - Vũng Tàu,12,Tối
2021-04-29,Khánh Hòa,1,Tối
2021-04-29,Nghệ An,1,Tối
2021-04-29,Vĩnh Phúc,2,Tối
2021-04-29,Đà Nẵng,4,Tối
2021-04-28,Nam Định,1,Tối
2021-04-28,Đà Nẵng,1,Tối
2021-04-27,Thái Nguyên,1,Tối
2021-04-27,Hà Nội,1,Tối
2021-04-27,Khánh Hòa,2,Tối
2021-04-27,Yên Bái,1,Tối
