date,location,number,time of day
06/28/2021,TP. Hồ Chí Minh,62,Sáng
06/28/2021,Phú Yên,10,Sáng
06/28/2021,Nghệ An,9,Sáng
06/28/2021,Long An,6,Sáng
06/28/2021,Bắc Ninh,4,Sáng
06/28/2021,Lạng Sơn,2,Sáng
06/28/2021,Quảng Ninh,2,Sáng
06/28/2021,Bắc Giang,2,Sáng
06/28/2021,TP. Hồ Chí Minh,94,Trưa
06/28/2021,Bình Dương,32,Trưa
06/28/2021,Bắc Giang,12,Trưa
06/28/2021,Bắc Ninh,4,Trưa
06/28/2021,Nghệ An,2,Trưa
06/28/2021,Hòa Bình,1,Trưa
06/28/2021,Đà Nẵng,1,Trưa
06/28/2021,TP. Hồ Chí Minh,62,Tối
06/28/2021,Quảng Ngãi,20,Tối
06/28/2021,Bắc Giang,12,Tối
06/28/2021,Đồng Nai,11,Tối
06/28/2021,Bình Dương,8,Tối
06/28/2021,Bắc Ninh,8,Tối
06/28/2021,Hà Tĩnh,7,Tối
06/28/2021,Bình Thuận,6,Tối
06/28/2021,Hưng Yên,2,Tối
06/28/2021,Hải Phòng,1,Tối
06/28/2021,Đồng Tháp,1,Tối
06/28/2021,Đắk Lắk,1,Tối
06/29/2021,TP. Hồ Chí Minh,58,Sáng
06/29/2021,Phú Yên,18,Sáng
06/29/2021,Long An,8,Sáng
06/29/2021,Bắc Giang,4,Sáng
06/29/2021,Hà Tĩnh,3,Sáng
06/29/2021,Nghệ An,2,Sáng
06/29/2021,Trà Vinh,1,Sáng
06/29/2021,Vĩnh Long,1,Sáng
06/29/2021,TP. Hồ Chí Minh,54,Trưa
06/29/2021,Hưng Yên,14,Trưa
06/29/2021,Bắc Giang,11,Trưa
06/29/2021,Hà Tĩnh,8,Trưa
06/29/2021,Bắc Ninh,3,Trưa
06/29/2021,Hải Phòng,2,Trưa
06/29/2021,Đồng Tháp,1,Trưa
06/29/2021,Lạng Sơn,1,Trưa
06/29/2021,TP. Hồ Chí Minh,43,Tối
06/29/2021,Bình Dương,24,Tối
06/29/2021,Tiền Giang,22,Tối
06/29/2021,Đồng Tháp,21,Tối
06/29/2021,Quảng Ngãi,21,Tối
06/29/2021,Bắc Giang,12,Tối
06/29/2021,Nghệ An,12,Tối
06/29/2021,Long An,4,Tối
06/29/2021,Đồng Nai,4,Tối
06/29/2021,Bắc Ninh,2,Tối
06/29/2021,Phú Yên,2,Tối
06/29/2021,Bình Thuận,1,Tối
06/29/2021,Lạng Sơn,1,Tối
06/29/2021,Hưng Yên,1,Tối
06/29/2021,Hà Tĩnh,1,Tối
06/29/2021,Bà Rịa - Vũng Tàu,1,Tối
06/30/2021,TP. Hồ Chí Minh,62,Sáng
06/30/2021,Phú Yên,21,Sáng
06/30/2021,Nghệ An,4,Sáng
06/30/2021,Bắc Giang,3,Sáng
06/30/2021,Bình Định,3,Sáng
06/30/2021,TP. Hồ Chí Minh,63,Trưa
06/30/2021,Bình Dương,24,Trưa
06/30/2021,Hưng Yên,9,Trưa
